"","e9-set3","e9-set5","e9-set6","e10-set2","e10-set3","e10-set5","e10-set6"
"ENSMUSG00000102693",0,0,0,0,0,0,0
"ENSMUSG00000064842",0,0,0,0,0,0,0
"ENSMUSG00000051951",22,13,9,39,48,31,39
"ENSMUSG00000102851",0,0,0,0,0,0,0
"ENSMUSG00000103377",0,0,0,0,0,0,0
"ENSMUSG00000104017",0,0,0,0,0,0,0
"ENSMUSG00000103025",0,0,0,0,0,0,0
"ENSMUSG00000089699",0,0,0,0,0,0,0
"ENSMUSG00000103201",0,0,0,0,0,0,0
"ENSMUSG00000103147",0,0,0,0,0,0,0
"ENSMUSG00000103161",0,0,0,0,0,0,0
"ENSMUSG00000102331",6,1,0,1,4,1,0
"ENSMUSG00000102348",0,0,0,0,0,0,0
"ENSMUSG00000102592",0,0,0,0,0,0,0
"ENSMUSG00000088333",0,0,0,0,0,0,0
"ENSMUSG00000102343",0,0,0,0,0,0,0
"ENSMUSG00000025900",2,3,8,5,11,5,6
"ENSMUSG00000102948",0,0,0,0,0,0,0
"ENSMUSG00000104123",0,0,0,0,0,0,0
"ENSMUSG00000025902",225,239,234,201,154,154,176
"ENSMUSG00000104238",1,0,2,4,0,1,0
"ENSMUSG00000102269",4,4,1,10,1,4,8
"ENSMUSG00000096126",1,3,1,0,0,0,0
"ENSMUSG00000103003",0,0,0,0,0,0,0
"ENSMUSG00000104328",2,1,0,1,0,0,2
"ENSMUSG00000102735",1,1,0,1,0,1,0
"ENSMUSG00000098104",1,4,1,7,4,6,3
"ENSMUSG00000102175",0,0,0,0,0,0,0
"ENSMUSG00000088000",0,0,0,0,0,0,0
"ENSMUSG00000103265",0,0,0,0,0,0,0
"ENSMUSG00000103922",24,10,9,31,25,17,22
"ENSMUSG00000033845",2576,2072,2086,2716,2334,2451,2363
"ENSMUSG00000102275",52,26,21,11,20,24,24
"ENSMUSG00000025903",4359,2883,2875,5018,4193,3625,4125
"ENSMUSG00000104217",5,6,8,5,10,4,4
"ENSMUSG00000033813",4175,3611,3686,6514,5849,4308,4790
"ENSMUSG00000062588",36,14,20,60,35,33,29
"ENSMUSG00000103280",3,0,5,0,1,2,2
"ENSMUSG00000002459",13,5,3,9,11,12,9
"ENSMUSG00000091305",0,0,0,0,0,0,0
"ENSMUSG00000102653",0,0,0,0,0,0,0
"ENSMUSG00000085623",0,0,0,0,0,0,0
"ENSMUSG00000091665",0,0,0,0,0,0,0
"ENSMUSG00000033793",1930,1489,1526,2293,1950,1766,1893
"ENSMUSG00000104352",0,0,0,0,0,0,0
"ENSMUSG00000104046",10,16,7,8,2,4,11
"ENSMUSG00000102907",3,9,7,3,8,4,3
"ENSMUSG00000025905",182,201,140,163,156,154,184
"ENSMUSG00000103936",0,0,0,0,0,0,0
"ENSMUSG00000093015",0,0,0,0,0,0,0
"ENSMUSG00000103519",0,0,0,0,0,0,0
"ENSMUSG00000033774",5,7,4,7,10,10,8
"ENSMUSG00000103090",0,0,0,0,0,0,0
"ENSMUSG00000025907",1671,1537,1585,2486,2193,1807,1973
"ENSMUSG00000090031",181,165,209,234,242,172,197
"ENSMUSG00000087247",0,0,0,0,0,0,0
"ENSMUSG00000103355",0,1,4,3,0,1,2
"ENSMUSG00000102706",0,0,0,0,0,3,0
"ENSMUSG00000103845",1,5,8,7,7,4,6
"ENSMUSG00000033740",7,0,0,1,1,13,10
"ENSMUSG00000103329",0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0
"ENSMUSG00000102135",5,0,4,4,2,6,3
"ENSMUSG00000103282",0,0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0,0
