"","e9-set3","e9-set5","e9-set6","e16-set3","e16-set4","e16-set5","e16-set6"
"ENSMUSG00000051951",20.8093426485364,13.1880569780738,9.32346008735474,46.1380844120654,84.4379921817786,53.655662925899,70.8818170508606
"ENSMUSG00000025902",212.82282254185,242.457355212279,242.409962271223,649.945189109096,652.048939625957,685.816927943764,667.727262073325
"ENSMUSG00000103922",22.7011010711306,10.1446592139029,9.32346008735474,30.090055051347,31.8987970464497,37.0711852942575,30.8181813264612
"ENSMUSG00000033845",2436.58484830135,2101.97338912068,2160.97086024689,1776.31624986452,1620.27124997702,1633.08326796282,1988.79996826763
"ENSMUSG00000102275",49.1857189874497,26.3761139561475,21.7547402038277,14.0420256906286,20.6403980888792,5.85334504646171,8.21818168705631
"ENSMUSG00000025903",4123.0874820441,2924.70525136821,2978.32752790499,2764.27305738375,2600.69015919878,2729.60990666665,2922.5908624594
"ENSMUSG00000033813",3949.04570716543,3663.23644214034,3818.47487577662,2555.64867569441,2478.72417049177,2983.25485867999,2833.21813661266
"ENSMUSG00000062588",34.0516516066959,14.2025228994641,20.7188001941216,22.0660403709878,20.6403980888792,15.6089201238979,21.5727269285228
"ENSMUSG00000033793",1825.54687780342,1510.53975695014,1580.84445481148,1304.90538739342,1238.42388533275,1289.68702523706,1327.23634245959
"ENSMUSG00000025905",172.150016456074,203.907650199448,145.031601358852,7.02101284531431,4.69099956565437,19.5111501548724,7.19090897617427
"ENSMUSG00000025907",1580.56416207747,1559.23412117688,1641.96491538414,1406.20857273295,1355.69887447411,1493.57854435548,1268.68179793932
"ENSMUSG00000090031",171.204137244777,167.386877029398,216.511462028571,127.381233050702,152.926585840332,151.211413700261,77.0454533161529
"ENSMUSG00000051285",1149.24324172599,1131.12950235017,1063.91038996815,1471.40369201087,1541.46245727403,1667.22778073384,1417.63634101721
"ENSMUSG00000103509",8.51291290167399,75.0704781828815,83.9111407861927,19.0570348658531,46.9099956565437,40.973415325232,22.5999996394048
"ENSMUSG00000097797",28.3763763389133,17.2459206636349,19.6828601844156,10.030018350449,18.7639982626175,16.5844776316415,19.5181815067587
"ENSMUSG00000025909",3.78351684518844,0,0,22.0660403709878,44.0953959171511,33.168955263283,46.2272719896917
"ENSMUSG00000061024",1930.5394702574,2020.81611540946,1941.3515781892,1081.2359781784,1175.56449115298,1073.11325851798,1278.95452504814
"ENSMUSG00000025911",29.3222555502104,21.3037843491961,16.5750401552973,1032.0888882612,895.042717126853,775.568218656177,877.290895093261
"ENSMUSG00000079671",3.78351684518844,5.07232960695145,7.25158006794258,33.0990605564817,48.7863954828054,39.0223003097447,27.736363193815
"ENSMUSG00000067879",9.45879211297109,0,1.03594000970608,19.0570348658531,25.3313976545336,14.6333626161543,30.8181813264612
"ENSMUSG00000025912",213.768701753147,172.459206636349,205.116121921804,348.041636760581,310.544171246319,317.056190016676,254.763632298746
"ENSMUSG00000045210",1299.63803632223,1325.90695925711,1469.99887377293,1075.21796716813,1006.68850678943,1168.71789427686,975.909075337937
"ENSMUSG00000097893",11.3505505355653,45.650966462563,34.1860203203007,16.0480293607184,38.4661964383658,23.4133801858468,33.8999994591073
"ENSMUSG00000025915",362.271737926793,323.614628923502,260.020942436227,735.200345087912,513.195352482588,709.230308129611,685.19089815832
"ENSMUSG00000046101",31.2140139728046,31.448443563099,25.8985002426521,10.030018350449,8.44379921817786,6.82890255420533,3.08181813264612
"ENSMUSG00000098234",738.731664023043,668.533042196201,638.139045978947,508.521930367765,440.953959171511,412.660825775551,435.563629413984
"ENSMUSG00000099032",199.58051358369,216.081241256132,238.266202232399,67.2011229480084,98.5109908787417,99.5068657898491,77.0454533161529
"ENSMUSG00000025917",4366.17843934746,3914.82399064513,3859.91247616486,3543.60548321364,3334.36249126712,3417.3779496259,3938.56357352174
"ENSMUSG00000056763",803.997329602543,905.918067801529,945.813228861653,461.380844120654,523.515551527027,563.872239475812,357.490903386949
"ENSMUSG00000067851",3712.57590434115,4622.92120377555,5122.72334799658,2521.54661330288,2829.61093800271,3363.7222867,2912.31813535058
"ENSMUSG00000048960",419.970369815917,564.043052293001,703.40326659043,424.269776223993,576.054746662356,650.696857664994,580.409081648352
"ENSMUSG00000057715",12.2964297468624,3.04339776417087,0,19.0570348658531,22.516797915141,27.3156102168213,33.8999994591073
"ENSMUSG00000016918",918.448714169493,1076.3483425951,915.770968580177,3500.4764043067,3754.67605234976,4530.48906596136,4138.88175214373
"ENSMUSG00000025938",142.827760905864,225.211434548644,158.498821485031,54.1620990924247,48.7863954828054,59.5090079723607,67.7999989182145
"ENSMUSG00000005886",1622.18284737454,2608.19188389444,2533.90926374108,1850.53838565784,2339.8705833484,2324.75354095304,2399.70905262044
"ENSMUSG00000025935",3300.17256821562,2647.75605482866,2667.54552499316,2153.4449398414,1959.89961853039,2120.86202183463,2276.4363273146
"ENSMUSG00000025937",914.665197324305,870.411760552869,775.919067269856,665.993218469814,670.812937888575,667.281335296635,724.227261171837
"ENSMUSG00000025932",41.6186852970728,65.9402848903688,63.192340592071,48.1440880821552,61.9211942666376,69.2645830497969,66.7727262073325
"ENSMUSG00000025930",0,2.02893184278058,0,72.2161321232329,97.5727909656108,112.189113390516,119.163634462316
"ENSMUSG00000032769",0.94587921129711,2.02893184278058,1.03594000970608,19.0570348658531,12.1965988707014,18.5355926471288,33.8999994591073
"ENSMUSG00000092083",7.56703369037688,25.3616480347572,15.5391001455912,23.0690422060327,28.1459973939262,35.1200702787703,41.0909084352815
"ENSMUSG00000025925",787.917383010492,707.082747209032,671.289126289541,448.341820265071,394.982163428098,451.683126085295,352.354539832539
"ENSMUSG00000043716",26219.7717371559,24229.5040664857,24228.5649470059,18106.1891262306,15467.1637678756,17356.1436202667,17779.0088072354
"ENSMUSG00000025921",213.768701753147,209.99444572779,178.181681669446,298.894546843381,253.313976545336,320.958420047651,302.018176999319
"ENSMUSG00000025920",797.376175123463,744.617986300473,737.589286910731,1365.08549749611,1346.3168753428,1436.99620890635,1601.5181562651
"ENSMUSG00000025939",1088.70697220297,632.012269026151,708.58296663896,903.704653375456,745.868930939044,951.168570050028,926.599985215599
"ENSMUSG00000079658",4402.12184937675,3052.52795746338,3061.20272868147,3283.82800793701,2874.644533833,2994.96154877291,3373.56358253661
"ENSMUSG00000025940",1534.21608072391,1469.96112009453,1278.34997197731,2201.58902792356,2102.50600532629,2166.71322469858,2566.12723178333
"ENSMUSG00000025779",75.6703369037688,36.5207731700504,35.2219603300068,88.2641614839513,85.3761920949095,85.8490606814384,66.7727262073325
"ENSMUSG00000042686",323.490690263611,380.424720521359,361.543063387423,718.149313892149,767.447528941054,790.201581272331,836.199986657979
"ENSMUSG00000025777",40.6728060857757,12.1735910566835,14.5031601358852,113.339207360074,106.016590183789,79.0201581272331,130.463634282019
"ENSMUSG00000067780",19.8634634372393,31.448443563099,23.8266202232399,321.963589049413,280.521774026131,358.029605341908,245.518177900807
"ENSMUSG00000025776",237.415682035574,271.876866932598,248.62560232946,111.333203689984,74.117793137339,115.115785913747,87.3181804249733
"ENSMUSG00000041859",6163.34894081197,6548.37752257432,6913.86362477839,2538.59764449864,2763.93694408355,2747.16994180603,2697.61813877623
"ENSMUSG00000025931",182.554687780342,198.835320592497,163.678521533561,198.59436333889,221.415179498886,251.693836997854,236.272723502869
"ENSMUSG00000041809",11.3505505355653,11.1591251352932,9.32346008735474,45.1350825770205,41.2807961777584,37.0711852942575,34.9272721699893
"ENSMUSG00000041779",568.473405989563,639.113530475883,650.57032609542,452.35382760525,546.032349442168,564.847796983555,467.409083451327
"ENSMUSG00000025933",205.255788851473,144.054160837421,160.570701504443,143.429262411421,121.027788793883,133.651378560876,134.572725125547
"ENSMUSG00000025934",6.62115447907977,1.01446592139029,0,13.0390238555837,23.4549978282718,20.486707662616,10.2727271088204
